"Statistic","Year","Area of Origin","UNIT","VALUE"
"Materials for Production (Other Than Agriculture)","2020","All Countries","Euro Thousand","39970462"
"Materials for Production (Other Than Agriculture)","2020","European Union - 27 countries (from 2020)","Euro Thousand","11330925"
"Materials for Production (Other Than Agriculture)","2020","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand","."
"Materials for Production (Other Than Agriculture)","2020","Great Britain and Northern Ireland","Euro Thousand","7982620"
"Not Classified","1938","All Countries","Euro Thousand","898"
"Not Classified","1938","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1938","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1938","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1939","All Countries","Euro Thousand",""
"Not Classified","1939","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1939","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1939","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1940","All Countries","Euro Thousand",""
"Not Classified","1940","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1940","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1940","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1941","All Countries","Euro Thousand",""
"Not Classified","1941","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1941","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1941","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1942","All Countries","Euro Thousand",""
"Not Classified","1942","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1942","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1942","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1943","All Countries","Euro Thousand",""
"Not Classified","1943","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1943","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1943","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1944","All Countries","Euro Thousand",""
"Not Classified","1944","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1944","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1944","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1945","All Countries","Euro Thousand",""
"Not Classified","1945","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1945","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1945","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1946","All Countries","Euro Thousand",""
"Not Classified","1946","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1946","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1946","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1947","All Countries","Euro Thousand",""
"Not Classified","1947","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1947","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1947","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1948","All Countries","Euro Thousand","4124"
"Not Classified","1948","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1948","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1948","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1949","All Countries","Euro Thousand","4631"
"Not Classified","1949","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1949","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1949","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1950","All Countries","Euro Thousand","3259"
"Not Classified","1950","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1950","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1950","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1951","All Countries","Euro Thousand","3766"
"Not Classified","1951","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1951","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1951","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1952","All Countries","Euro Thousand","6543"
"Not Classified","1952","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1952","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1952","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1953","All Countries","Euro Thousand","6683"
"Not Classified","1953","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1953","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1953","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1954","All Countries","Euro Thousand","7657"
"Not Classified","1954","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1954","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1954","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1955","All Countries","Euro Thousand","8756"
"Not Classified","1955","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1955","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1955","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1956","All Countries","Euro Thousand","8779"
"Not Classified","1956","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1956","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1956","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1957","All Countries","Euro Thousand","10778"
"Not Classified","1957","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1957","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1957","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1958","All Countries","Euro Thousand","12922"
"Not Classified","1958","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1958","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1958","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1959","All Countries","Euro Thousand","11764"
"Not Classified","1959","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1959","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1959","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1960","All Countries","Euro Thousand","13337"
"Not Classified","1960","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1960","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1960","Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1961","All Countries","Euro Thousand","15492"
"Not Classified","1961","European Union - 27 countries (from 2020)","Euro Thousand",""
"Not Classified","1961","Other EU Member States other than Great Britain and Northern Ireland","Euro Thousand",""
"Not Classified","1961","Great Britain and Northern Ireland","Euro Thousand",""
